Year,Month,#,CODE,Authors,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,Conference,Location,Invited,Organization,Pages,Title,Volume,Eval,Given?
2021,4,A,C21A,"*Singer, M; Stella, J.; Caylor, KK; Roberts, D.; Kui, L.; Kaseke, Farai; Mayes, M; Pelletier, L; Williams, J; Warter, M; Sabathuer, R.; McMahon, C; Kibler, C; Morgan, B; Rohde, M. ","Singer, M.","Sargeant, S.","Stella, J.","Caylor, K.K.","Roberts, D.","Kui, L.","Kaseke, F.","Mayes, M.","Pelletier, L.","Williams, J.","Warter, M.","Sabathuer, R.","McMahon, C.","Kibler, C.","Morgan, B.","Rohde, M.",,,,,,"European Geosciences Union, General Assembly 
",Virtual,0,,,Stable isotope insights into dryland ecohydrology,,0,
2020,8,E,C20E,"*Forbes, ES; Caylor, KK; Hirsch, ME; Schimel, JP; Young, T; Young, HS","Forbes, E.S.","Caylor, K.K.","Hirsch, M.E.","Schimel, J.P.","Young, T.","Young, H.S.",,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,Virtual,0,,,"Wild robots: Developing DIY technology to investigate soil carbon flux in a long-term, landscape-scale, large herbivore exclosure experiment in a central Kenya savanna",,0,
2020,12,D,C20D,"*Tuholske, C; Caylor, KK; Funk, C; Verdin, A; Sweeney, S; Peterson, P; Evans, T; Grace, K","Tuholske, C.","Caylor, K.K.","Funk, C.","Verdin, A.","Sweeney, S.","Peterson, P.","Evans, T.","Grace, K.",,,,,,,,,,,,,,American Geophysical Union Fall Meeting,Virtual,0,,,Global Urban Population Exposure to Extreme Heat,,0,
2020,12,C,C20C,"*Sheffield, J; Vergopolan, N; Xiong, S; Estes, LD; Wanders, N; Chaney, NW; Wood, EF; Konar, M; Caylor, KK; Beck, H; Gatti, N; Evans, T","Sheffield, J.","Vergopolan, N.","Xiong, S.","Estes, L.D.","Wanders, N.","Chaney, N.W.","Wood, E.F.","Konar, M.","Caylor, K.K.","Beck, H.","Gatti, N.","Evans, T.",,,,,,,,,,American Geophysical Union Fall Meeting,Virtual,0,,,Improving drought monitoring and crop yield prediction with field-scale soil moisture,,0,
2020,12,B,C20B,"*Green, RK; Caylor, KK; Funk, CC; Roberts, DA","Green, R.K.","Caylor, K.K.","Funk, C.C.","Roberts, D.A.",,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,Virtual,0,,,Seasonal Vegetation-Hydrological Coupling across Land Covers in East Africa,,0,
2020,12,A,C20A,"*Krell, N; Morgan, B; Gower, D; Caylor, KK","Krell, N.","Morgan, B.","Gower, D.","Caylor, K.K.",,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,Virtual,0,,,Consequences of variable rainfall on farming outcomes for dryland maize farmers,,0,
2019,12,C,C19C,"*Green, RK; Caylor, KK; Funk, CC; Roberts, DA","Green, R.K.","Caylor, K.K.","Funk, C.C.","Roberts, D.A.",,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,1,,,Drought projection and modeling causal feedbacks with Earth Observations in East Africa,,0,
2019,12,D,C19D,"*Morgan, B.; Mayes, MT; Caylor, KK","Morgan, B.","Mayes, M.T.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,0,,,Improved assessment of drylands riparian vegetation water use at leaf-to-landscape scales using unmanned aerial vehicle (UAV)-based thermal remote sensing,,0,
2019,12,E,C19E,"*Vergopolan, N; Xiong, S; Sheffield, J; Wood, EF; Evans, TP; Caylor, KK; Estes, LD","Vergopolan, N.","Xiong, S.","Sheffield, J.","Wood, E.F.","Evans, T.P.","Caylor, K.K.","Estes, L.D.",,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,0,,,The spatiotemporal scales of drought and its impacts on field-scale agricultural yields,,0,
2019,12,F,C19F,"*Mayes, MT; Morgan, B; Caylor, KK; Singer, MB; Stella, JC; Roberts, DA","Mayes, M.T.","Morgan, B.","Caylor, K.K.","Singer, M.B.","Stella, J.C.","Roberts, D.A.",,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,0,,,Monitoring dryland riparian vegetation water use and stress via ECOSTRESS,,0,
2019,12,G,C19G,"*Estes, LD; Ye, S; Song, L; Avery, RB; McRitchie, D; Eastman, R; Debats, SR; Caylor, KK","Estes, L.D.","Ye, S.","Song, L.","Avery, R.B.","McRitchie, D.","Eastman, R.","Debats, S.R.","Caylor, K.K.",,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,0,,,Improving maps of smallholder-dominated croplands through tight integration of human and machine intelligence,,0,
2019,12,H,C19H,"*Tuholske, C; Funk, CC; Caylor, KK; Evans, T; Sweeney, S.","Tuholske, C.","Funk, C.C.","Caylor, K.K.","Evans, T.","Sweeney, S.",,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,0,,,"A fine-resolution, global comparison of urban exposure to extreme temperature",,0,
2019,12,I,C19I,"*Krell, N; Davenport, F; Peterson, S; Shukla, S; Husak, GJ; Turner, W; Funk, CC; Caylor, KK","Krell, N.","Davenport, F.","Peterson, S.","Shukla, S.","Husak, G.J.","Turner, W.","Funk, C.C.","Caylor, K.K.",,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,0,,,To what extent does climate variability explain farmers’ planting decisions in central Kenya?,,0,
2019,12,J,C19J,"*Sabathier, R; Singer, MB; Stella, JC; Caylor, KK; Roberts, DA","Sabathier, R.","Singer, M.B.","Stella, J.C.","Caylor, K.K.","Roberts, D.A.",,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,0,,,The greening and browning of the Arizona desert in response to climate-controlled water availability,,0,
2019,12,K,C19K,"*Forbes, ES; Caylor, KK; Young, T; Hirsch, M; Young, HS","Forbes, E.S.","Caylor, K.K.","Young, T.","Hirsch, M.","Young, H.S.",,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,0,,,"Animal, vegetable, mineral: Identifying the indirect effects of large vertebrate herbivores and land use on carbon cycling in a Kenyan savanna ecosystem",,0,
2019,12,L,C19L,"*Ribeiro, F; Davis, FW; Roberts, DA; Caylor, KK; Hess, LL; Daldegan, GA; Brum, FT. ","Ribeiro, F.","Davis, F.W.","Roberts, D.A.","Caylor, K.K.","Hess, L.L.","Daldegan, G.A.","Brum, FT.",,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,0,,,Is Forest Code legislation protecting Neotropical savanna habitats in agricultural landscapes? A high-resolution Gap analysis of the Brazilian Cerrado,,0,
2019,12,M,C19M,"*Warter, MM; Singer, MB; Roberts, DA; Cuthbert, MO; Caylor, KK; Sabathier, R; Stella, JC","Warter, M.M.","Singer, M.B.","Roberts, D.A.","Cuthbert, M.O.","Caylor, K.K.","Sabathier, R.","Stella, J.C.",,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,0,,,Onset and propagation of the 2012-2016 drought in southern California,,0,
2019,12,N,C19N,"*Caylor, KK; Evans, TP; Estes, LD; Sheffield, J; Vergopolan, N; Krell, N;  Gower, D; Guido, Z","Caylor, K.K.","Evans, T.P.","Estes, L.D.","Sheffield, J.","Vergopolan, N.","Krell, N.","Gower, D.","Guido, Z.",,,,,,,,,,,,,,American Geophysical Union Fall Meeting,San Francisco,1,,,"Linkages between water, vegetation, and livelihoods in Sub-Saharan drylands",,0,1
2019,4,A,C19A,"*Estes, Lyndon Despard; Song, Lei; Ye, Su; Avery, Ryan; McRitchie, Dennis; Debats, Stephanie; Xiong, Sitian; Eastman, Ron; Woodard, Tammy; Caylor, Kelly","Estes, L.D.","Song, L.","Ye, S.","Avery, R.","McRitchie, D.","Debats, S.","Xiong, S.","Eastman, R.","Woodard, T.","Caylor, K.",,,,,,,,,,,,4th Open Science Meeting of the Global Land Programme,"Bern, Switzerland",0,,,Integrating humans and machines to map smallholder-dominated agricultural frontiers,,0,
2018,10,G,C18G,"*Lopus, S. Waldman, K., Guido, Z., Caylor, K., Evans, T.","Lopus, S.W.","Guido, Z.","Caylor, K.","Evans, T.",,,,,,,,,,,,,,,,,,"International Conference on Migration, Environment and Climate: What risk inequalities? ","Paris, France",0,,,"Regional migration, global climate change,
and the future of irrigation on Kenyan farms",,0,
2018,12,D,C18D,"*Tuholske, C., Caylor, K.K.","Tuholske, C.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,"Washington, DC",0,,,Fusing Remote Sensing and Demography to Assess which Sub-Saharan African Cities Are Growing the Fastest,,0,
2018,12,E,C18E,"Rya*n Barry Avery, Kelly K Caylor, Lyndon D Estes, Ronald Eastman, Su Ye, Lei Song, Kaixi Zhang, Sitian Xiong, Dennis McRitchie, Tammy Woodard","Avery, R.","Caylor, K.K.","Estes., L.D.","Eastman, R.","Ye, S.","Song, L.","Zhang, K.","Xiong, S.","McRitchie, D.","Woodard, T.",,,,,,,,,,,,American Geophysical Union Fall Meeting,"Washington, DC",0,,,A Convolutional Neural Network Approach to Segmenting Smallholder Agriculture,,0,
2018,8,C,C18C,*K.K. Caylor,"Caylor, K.K.",,,,,,,,,,,,,,,,,,,,,Ecological Society of America,"New Orleans, LA",1,,,Multi-scale dynamics of vegetation responses to changing rainfall variability in dryland regions,,0,1
2018,12,F,C18F,"*Michael Cecil, Katherine Baylis, Jordan Blekking, Kelly K Caylor, Tom P Evans, Megan Konar, Justin Sheffield, Noemi Vergopolan, Kurt Waldman, Yi Zhao, Lyndon D Estes","Cecil, M.","Baylis, K.","Blekking, J.","Caylor, K.K.","Evans, T.P.","Konar, M.","Sheffield, J.","Vergopolan, N.","Waldman, K.","Zhao, Y.","Estes, L.D.",,,,,,,,,,,American Geophysical Union Fall Meeting,"Washington, DC",0,,,Quantifying the Effect of Farmer Management Decisions on Maize Yield in Zambia,,0,
2018,12,G,C18G,"*Lyndon D Estes, Stephanie R Debats, Dennis McRitchie, Ronald Eastman, Lei Song, Tammy Woodard, Sitian Xiong, Su Ye, Kaixi Zhang, Ryan Barry Avery, Kelly K Caylor","Estes, L.D.","Debats, S.","McRitchie, D.","Eastman, R.","Song, L.","Woodard, T.","Xiong, S.","Ye, S.","Zhang, K.","Avery, R.","Caylor, K.K.",,,,,,,,,,,American Geophysical Union Fall Meeting,"Washington, DC",0,,,Using active learning to quantify how training data errors impact classification accuracy over smallholder-dominated agricultural systems,,0,
2018,12,H,C18H,"*Kelly K Caylor, Elizabeth Forbes, Grace Lewin, Mark Hirsh","Caylor, K.K.","Forbes, E.S.","Lewin, G.","Hirsh, M.",,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,"Washington, DC",0,,,Reimagining high-resolution ecosystem monitoring with low-cost autonomous sensing,,0,1
2018,12,I,C18I,"*Marc Mayes, Kelly Caylor","Mayes, M.T.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,"Washington, DC",0,,,"Seasonal and diurnal drone and ground-based thermal, multispectral and hyperspectral imaging to quantify responses of California oak woodland productivity and evapotranspiration to extreme climate conditions",,0,
2018,4,A,C18A,"*Tuholske, C., Andam, K., Blekking, J., Caylor, K., Evans, T.","Tuholske, C.","Andam, K.","Blekking, J.","Caylor, K.","Evans, T.",,,,,,,,,,,,,,,,,American Association of Geographers Annual Meeting ,"New Orleans, LA",0,,,Towards assessing urban food security and nutrition in West Africa,,0,
2018,4,B,C18B,"*Estes, L., Caylor, K.K., Debats, S., Eastman, R., Thompson, D.R. ","Estes, L.","Caylor, K.K.","Debats, S.","Eastman, R.","Thompson, D.R.",,,,,,,,,,,,,,,,,Association of American Geographers Annual Meeting,"New Orleans, LA",0,,,Integrating humans and machines to map smallholder-dominated agricultural frontiers,,0,
2018,5,R,C18R,"Mayes, M; Sylvester, A; Caylor, KK","Mayes, M.","Sylvester, A.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,Joint 70th Rocky Mountain Annual Section/114th Cordilleran Annual Section Meeting,,0,,,UAS imagery of debris basin volumes and infrastructure supports watershed-scale assessment and preparation for changing food and debris flow hazards in Santa Barbara county,,0,
2018,4,Q,C18Q,"Lopus, S; Waldman, K; Schumacher, J; Caylor, K; Evans, T","Lopus, S.","Waldman, K.","Schumacher, J.","Caylor, K.","Evans, T.",,,,,,,,,,,,,,,,,Population Association of America Annual Meeting,"Denver, CO",0,,,Population Growth and Climate Change as Simultaneous Threats to African Smallholder Farming,,0,
2018,4,C,C18C,"Manfreda, S., Ben Dor, E., Caylor, K.K., Ciraolo, G., De Lima, I., De Lima, J.L.M., Estes, L., Frances, F., Helman, D., Kohv, M., Lucas, R., Madrigal, V.P., Mallinis, G., Maltese, A., McCabe, M., Miller, P., Perks, M., Ruiz-Perez, G., Tauro, F., Toth, B.","Manfreda, S.","Ben Dor, E.","Caylor, K.K.","Ciraolo, G.","De Lima, I.","De Lima, J.L.","Estes, L.","Frances, F.","Helman, D.","Kohv, M.","Lucas, R.","Madrigal, V.P.","Mallinis, G.","Maltese, A.","McCabe, M.","Miller, P.","Perks, M.","Ruiz-Perez, G.","Tauro, F.","Toth, B.",,"European Geosciences Union, General Assembly 
","Vienna, Austria",0,,,On the use of unmanned aerial systems for environmental monitoring,,0,
2017,4,R,C17R,K.K. Caylor,"Caylor, K.K.",,,,,,,,,,,,,,,,,,,,,Association for the Sciences of Limnology and Oceanography,"Honolulu, HI",1,,,"Dryland feedbacks between biogeochemistry, plants, and surface hydrological dynamics",,0,1
2017,12,A,C17A,"Gerlein-Safdi, C and Koohafkan, M and Chung, M and Rockwell, FE and Thompson, SE and Caylor, K.K.","Gerlein-Safdi, C.","Koohafkan, M.","Chung, M.","Rockwell, F.E.","Thompson, S.E.","Caylor, K.K.",,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,0,,,Effects of dew deposition on transpiration and carbon uptake in leaves,,0,
2017,12,B,C17B,"Gower, D and Zeng, Z and Caylor, K.K. and Wood, EF","Gower, D.","Zeng, Z.","Caylor, K.K.","Wood, E.F.",,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,0,,,Simulating the impact of water storage on agricultural intensification and deforestation in Northern Thailand,,0,
2017,12,C,C17C,"Ribeiro, F and Roberts, DA and Hess, LL and Davis, FW and Caylor, K.K. and Nackoney, J and Antunes Daldegan, G","Ribeiro, F.","Roberts, D.A.","Hess, L.L.","Davis, F.W.","Caylor, K.K.","Nackoney, J.","Antunes Daldegan, G.",,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,0,,,High spatial resolution mapping of land cover types in a priority area for conservation in the Brazilian savanna,,0,
2017,12,D,C17D,"Mayes, MT and Caylor, K.K. and Ehlmann, BL and Greenberger, RN and Estes, LD","Mayes, M.T.","Caylor, K.K.","Ehlmann, B.L.","Greenberger, R.N.","Estes, L.D.",,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,"Is deciduousness a key to climate resilience among iconic California savanna oak species? Relating phenological habits to seasonal indicators of tree physiological and water stress across field, hyperspectral, drone (UAS)-based multispectral and thermal image data",,0,
2017,12,E,C17E,"Krell, N and Evans, TP and Estes, LD and Caylor, K.K.","Krell, N.","Evans, T.P.","Estes, L.D.","Caylor, K.K.",,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Real-time monitoring of smallholder farmer responses to intra-seasonal climate variability in central Kenya,,0,
2016,4,A,C16A,"Ruiz-Pérez, Guiomar and Manfreda, Salvatore and Caylor, Kelly and Francés, Félix","Ruiz-Pérez, G.","Manfreda, S.","Caylor, K.","Francés, F.",,,,,,,,,,,,,,,,,,"European Geosciences Union, General Assembly 
",,,,1957,Automatic calibration of a parsimonious ecohydrological model in a sparse basin using the spatio-temporal variation of the NDVI,18,0,
2016,12,B,C16B,"Mayes, MT and Estes, LD and Gago, X and Debats, SR and Caylor, K.K. and Manfreda, S and Oudemans, P and Ciraolo, G and Maltese, A and Nadal, M and others","Mayes, M.T.","Estes, L.D.","Gago, X.","Debats, S.R.","Caylor, K.K.","Manfreda, S.","Oudemans, P.","Ciraolo, G.","Maltese, A.","Nadal, M.",,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Using Small Drone (UAS) Imagery to Bridge the Gap Between Field-and Satellite-Based Measurements of Vegetation Structure and Change,,0,
2016,12,C,C16C,"Evans, Tom P and Caylor, Kelly K and Estes, Lyndon D and Plale, Beth A and Attari, Shahzeen and Waldman, Kurt","Evans, T.P.","Caylor, K.K.","Estes, L.D.","Plale, B.A.","Attari, S.","Waldman, K.",,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Rapid Monitoring of Drought Impacts on Small-Scale Farms in Africa through Integration of Farmer SMS data and Environmental Sensors,,0,
2016,12,D,C16D,"Estes, Lyndon D and Debats, SR and Caylor, Kelly K and Evans, Tom P and Gower, Drew and McRitchie, Dennis and Searchinger, Timothy and Thompson, David R and Wood, Eric F and Zeng, Lindy","Estes, L.D.","Debats, S.R.","Caylor, K.K.","Evans, T.P.","Gower, D.","McRitchie, D.","Searchinger, T.","Thompson, D.R.","Wood, E.F.","Zeng, L.",,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Combining Human and Machine Learning to Map Cropland in the 21st Century's Major Agricultural Frontier,,0,
2016,12,E,C16E,"Evans, Tom P and Estes, Lyndon D and Caylor, Kelly K and McCord, Paul Frederick and Gower, Drew and Konar, M and Baylis, K and Waldman, K and Blekking, J and Schlachter, T","Evans, T.P.","Estes, L.D.","Caylor, K.K.","McCord, P.F.","Gower, D.","Konar, M.","Baylis, K.","Waldman, K.","Blekking, J.","Schlachter, T.",,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Harmonizing Social and Environmental Dynamics in Earth Systems Modeling,,0,
2016,12,F,C16F,"Gower, D and McCord, PF and Caylor, K.K. and Dell'Angelo, J and Evans, TP","Gower, D.","McCord, P.F.","Caylor, K.K.","Dell'Angelo, J.","Evans, T.P.",,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,An ecohydrologic framework for simulating catchment constraints on smallholder irrigation systems in drylands,,0,
2016,12,G,C16G,"Gerlein-Safdi, C and Frolking, SE and Caylor, K.K.","Gerlein-Safdi, C.","Frolking, S.E.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Characterization of canopy dew formation in tropical forests using active microwave remote sensing,,0,
2016,12,H,C16H,"DeCarlo, Keita F and Caylor, Kelly K","DeCarlo, K.F.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Linking Carbon Flux Dynamics and Soil Structure in Dryland Soils,,0,
2016,4,I,C16I,"DeCarlo, Keita and Caylor, Kelly","DeCarlo, K.","Caylor, K.",,,,,,,,,,,,,,,,,,,,EGU General Assembly Conference,,,,11453,Faunal Drivers of Soil Flux Dynamics via Alterations in Crack Structure,18,0,
2016,12,J,C16J,"Zeng, Z and Tian, D and Estes, LD and Evans, TP and Wood, EF and Caylor, K.K.","Zeng, Z.","Tian, D.","Estes, L.D.","Evans, T.P.","Wood, E.F.","Caylor, K.K.",,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,"Can we forecast farmers' yields? The relationships between rainfall variability, farmers' expectations, and actual yields in a tropical dryland",,0,
2016,12,K,C16K,"Colliander, A and Jackson, TJ and Bindlish, R and Chan, S and Das, NN and Kim, S and Cosh, MH and Dunbar, RS and Asanuma, J and Aida, K and others","Colliander, A.","Jackson, T.J.","Bindlish, R.","Chan, S.","Das, N.N.","Kim, S.","Cosh, M.H.","Dunbar, R.S.","Asanuma, J.","Aida, K.",,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Assessment of SMAP L2/L3 Soil Moisture Products using In Situ Based Core Validation Sites,,0,
2015,12,A,C15A,"Debats, SR and Estes, LD and Caylor, K.K.","Debats, S.R.","Estes, L.D.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Interactively Improving Agricultural Field Mapping in Sub-Saharan Africa with Crowd-Sourcing and Active Learning,,0,
2015,12,B,C15B,"Manfreda, S and Baldwin, DC and Keller, K and Smithwick, EAH and Caylor, K.K.","Manfreda, S.","Baldwin, D.C.","Keller, K.","Smithwick, E.AH.","Caylor, K.K.",,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Predicting root zone soil moisture with satellite near-surface moisture data in semiarid environments,,0,
2015,12,C,C15C,"Spiegel, M and Estes, LD and Caylor, K.K. and Searchinger, T","Spiegel, M.P.","Estes, L.D.","Caylor, K.K.","Searchinger, T.",,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Reconciling Agricultural Needs with Biodiversity and Carbon Conservation in a Savanna Transformation Frontier,,0,
2015,12,D,C15D,"Evans, TP and Caylor, K.K. and Estes, LD and McCord, PF and Attari, S and Sheffield, J","Evans, T.P.","Caylor, K.K.","Estes, L.D.","McCord, P.F.","Attari, S.","Sheffield, J.",,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Modeling Local vs. Global Dimensions of Food Security in Sub-Saharan Africa,,0,
2015,12,E,C15E,"DeCarlo, KF and Caylor, K.K.","DeCarlo, K.F.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Faunal Influences on Fracture-Induced Carbon Flux Dynamics in Dryland Soils,,0,
2015,12,F,C15F,"Colliander, A and Jackson, TJ and Chan, S and Das, NN and Kim, S and Dunbar, RS and Bindlish, R and Dang, LB and Berg, AA and Rowlandson, TL and others","Colliander, A.","Jackson, T.J.","Chan, S.","Das, N.N.","Kim, S.","Dunbar, R.S.","Bindlish, R.","Dang, L.B.","Berg, A.A.","Rowlandson, T.L.",,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,SMAP L2/L3 soil moisture product validation using in situ based core validation sites,,0,
2015,12,G,C15G,"Good, SP and Wang, L and Caylor, K.K.","Good, S.P.","Wang, L.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Global optimum vegetation rain water use is determined by aridity,,0,
2015,12,H,C15H,"Krell, N and DeCarlo, KF and Caylor, K.K.","Krell, N.","DeCarlo, K.F.","Caylor, K.K.",,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,Analysis of Biophysical Mechanisms of Gilgai Microrelief Formation in Dryland Swelling Soils Using Ultra-High Resolution Aerial Imagery,,0,
2015,12,I,C15I,"Caylor, K.K. and Wayland, H and Scanlon, TM","Caylor, K.K.","Wayland, H.","Scanlon, T.M.",,,,,,,,,,,,,,,,,,,American Geophysical Union Fall Meeting,,,,,"A dynamic, non-steady state approach for paritioning of soil evaporation and plant water use at landscape scales",,0,
